experiment_id,seed,learning_rate,dp_clip,lora_r,lora_alpha,zo_eps,batch_size,max_steps,metric_name,metric_value,best_checkpoint_step,best_eval_loss,output_dir
lora-dpzero-stage1-15-lr0.0001-clip10-r8-a16-mu0.001-bs4-steps5000-seed0,0,0.0001,10.0,8,16,0.001,4,5000,dev_accuracy,0.698,4500,0.5528446435928345,/home/zjs/code/x73/dpsgd/zo-dp/result/lora_dpzero_matrix/stage1/lora-dpzero-stage1-15-lr0.0001-clip10-r8-a16-mu0.001-bs4-steps5000-seed0
lora-dpzero-stage1-11-lr3e-05-clip10-r8-a16-mu0.001-bs4-steps5000-seed0,0,3e-05,10.0,8,16,0.001,4,5000,dev_accuracy,0.636,5000,0.7647114396095276,/home/zjs/code/x73/dpsgd/zo-dp/result/lora_dpzero_matrix/stage1/lora-dpzero-stage1-11-lr3e-05-clip10-r8-a16-mu0.001-bs4-steps5000-seed0
lora-dpzero-stage1-00-lr3e-06-clip0.03-r8-a16-mu0.001-bs4-steps5000-seed0,0,3e-06,0.03,8,16,0.001,4,5000,dev_accuracy,0.632,1000,0.7882592082023621,/home/zjs/code/x73/dpsgd/zo-dp/result/lora_dpzero_matrix/stage1/lora-dpzero-stage1-00-lr3e-06-clip0.03-r8-a16-mu0.001-bs4-steps5000-seed0
lora-dpzero-stage1-01-lr3e-06-clip0.1-r8-a16-mu0.001-bs4-steps5000-seed0,0,3e-06,0.1,8,16,0.001,4,5000,dev_accuracy,0.632,1500,0.7886372208595276,/home/zjs/code/x73/dpsgd/zo-dp/result/lora_dpzero_matrix/stage1/lora-dpzero-stage1-01-lr3e-06-clip0.1-r8-a16-mu0.001-bs4-steps5000-seed0
lora-dpzero-stage1-02-lr3e-06-clip1-r8-a16-mu0.001-bs4-steps5000-seed0,0,3e-06,1.0,8,16,0.001,4,5000,dev_accuracy,0.632,2000,0.7880702018737793,/home/zjs/code/x73/dpsgd/zo-dp/result/lora_dpzero_matrix/stage1/lora-dpzero-stage1-02-lr3e-06-clip1-r8-a16-mu0.001-bs4-steps5000-seed0
lora-dpzero-stage1-03-lr3e-06-clip10-r8-a16-mu0.001-bs4-steps5000-seed0,0,3e-06,10.0,8,16,0.001,4,5000,dev_accuracy,0.632,5000,0.7869203686714172,/home/zjs/code/x73/dpsgd/zo-dp/result/lora_dpzero_matrix/stage1/lora-dpzero-stage1-03-lr3e-06-clip10-r8-a16-mu0.001-bs4-steps5000-seed0
lora-dpzero-stage1-04-lr1e-05-clip0.03-r8-a16-mu0.001-bs4-steps5000-seed0,0,1e-05,0.03,8,16,0.001,4,5000,dev_accuracy,0.632,4500,0.7884166836738586,/home/zjs/code/x73/dpsgd/zo-dp/result/lora_dpzero_matrix/stage1/lora-dpzero-stage1-04-lr1e-05-clip0.03-r8-a16-mu0.001-bs4-steps5000-seed0
lora-dpzero-stage1-05-lr1e-05-clip0.1-r8-a16-mu0.001-bs4-steps5000-seed0,0,1e-05,0.1,8,16,0.001,4,5000,dev_accuracy,0.632,2000,0.7879284024238586,/home/zjs/code/x73/dpsgd/zo-dp/result/lora_dpzero_matrix/stage1/lora-dpzero-stage1-05-lr1e-05-clip0.1-r8-a16-mu0.001-bs4-steps5000-seed0
lora-dpzero-stage1-06-lr1e-05-clip1-r8-a16-mu0.001-bs4-steps5000-seed0,0,1e-05,1.0,8,16,0.001,4,5000,dev_accuracy,0.632,1000,0.7879599332809448,/home/zjs/code/x73/dpsgd/zo-dp/result/lora_dpzero_matrix/stage1/lora-dpzero-stage1-06-lr1e-05-clip1-r8-a16-mu0.001-bs4-steps5000-seed0
lora-dpzero-stage1-07-lr1e-05-clip10-r8-a16-mu0.001-bs4-steps5000-seed0,0,1e-05,10.0,8,16,0.001,4,5000,dev_accuracy,0.632,5000,0.7837859392166138,/home/zjs/code/x73/dpsgd/zo-dp/result/lora_dpzero_matrix/stage1/lora-dpzero-stage1-07-lr1e-05-clip10-r8-a16-mu0.001-bs4-steps5000-seed0
lora-dpzero-stage1-08-lr3e-05-clip0.03-r8-a16-mu0.001-bs4-steps5000-seed0,0,3e-05,0.03,8,16,0.001,4,5000,dev_accuracy,0.632,3000,0.7879284024238586,/home/zjs/code/x73/dpsgd/zo-dp/result/lora_dpzero_matrix/stage1/lora-dpzero-stage1-08-lr3e-05-clip0.03-r8-a16-mu0.001-bs4-steps5000-seed0
lora-dpzero-stage1-09-lr3e-05-clip0.1-r8-a16-mu0.001-bs4-steps5000-seed0,0,3e-05,0.1,8,16,0.001,4,5000,dev_accuracy,0.632,4000,0.7883852124214172,/home/zjs/code/x73/dpsgd/zo-dp/result/lora_dpzero_matrix/stage1/lora-dpzero-stage1-09-lr3e-05-clip0.1-r8-a16-mu0.001-bs4-steps5000-seed0
lora-dpzero-stage1-10-lr3e-05-clip1-r8-a16-mu0.001-bs4-steps5000-seed0,0,3e-05,1.0,8,16,0.001,4,5000,dev_accuracy,0.632,5000,0.7872669100761414,/home/zjs/code/x73/dpsgd/zo-dp/result/lora_dpzero_matrix/stage1/lora-dpzero-stage1-10-lr3e-05-clip1-r8-a16-mu0.001-bs4-steps5000-seed0
lora-dpzero-stage1-12-lr0.0001-clip0.03-r8-a16-mu0.001-bs4-steps5000-seed0,0,0.0001,0.03,8,16,0.001,4,5000,dev_accuracy,0.632,5000,0.7881332039833069,/home/zjs/code/x73/dpsgd/zo-dp/result/lora_dpzero_matrix/stage1/lora-dpzero-stage1-12-lr0.0001-clip0.03-r8-a16-mu0.001-bs4-steps5000-seed0
lora-dpzero-stage1-13-lr0.0001-clip0.1-r8-a16-mu0.001-bs4-steps5000-seed0,0,0.0001,0.1,8,16,0.001,4,5000,dev_accuracy,0.632,3500,0.7875661253929138,/home/zjs/code/x73/dpsgd/zo-dp/result/lora_dpzero_matrix/stage1/lora-dpzero-stage1-13-lr0.0001-clip0.1-r8-a16-mu0.001-bs4-steps5000-seed0
lora-dpzero-stage1-14-lr0.0001-clip1-r8-a16-mu0.001-bs4-steps5000-seed0,0,0.0001,1.0,8,16,0.001,4,5000,dev_accuracy,0.632,3000,0.7875503897666931,/home/zjs/code/x73/dpsgd/zo-dp/result/lora_dpzero_matrix/stage1/lora-dpzero-stage1-14-lr0.0001-clip1-r8-a16-mu0.001-bs4-steps5000-seed0
