experiment_id,seed,learning_rate,dp_clip,zo_eps,lora_r,lora_alpha,lora_target_modules,lora_num_layers,batch_size,max_steps,lr_scheduler_type,warmup_ratio,metric_name,metric_value,best_checkpoint_step,best_eval_loss,output_dir
lora-dpzero-explore-schedule-00-lr0.0001-clip10-mu0.006-r8-a16-targetsq_proj+v_proj-layers16-constant-wu0-bs4-steps10000-seed0,0,0.0001,10.0,0.006,8,16,"q_proj,v_proj",16,4,10000,constant,0.0,dev_accuracy,0.802,9500,0.4429813623428345,/home/zjs/code/x73/dpsgd/zo-dp/result/lora_dpzero_exploration/schedule/lora-dpzero-explore-schedule-00-lr0.0001-clip10-mu0.006-r8-a16-targetsq_proj+v_proj-layers16-constant-wu0-bs4-steps10000-seed0
lora-dpzero-explore-schedule-01-lr0.0001-clip10-mu0.006-r8-a16-targetsq_proj+v_proj-layers16-constant-wu0.03-bs4-steps10000-seed0,0,0.0001,10.0,0.006,8,16,"q_proj,v_proj",16,4,10000,constant,0.03,dev_accuracy,0.802,9500,0.4429813623428345,/home/zjs/code/x73/dpsgd/zo-dp/result/lora_dpzero_exploration/schedule/lora-dpzero-explore-schedule-01-lr0.0001-clip10-mu0.006-r8-a16-targetsq_proj+v_proj-layers16-constant-wu0.03-bs4-steps10000-seed0
lora-dpzero-explore-schedule-04-lr0.0001-clip10-mu0.006-r8-a16-targetsq_proj+v_proj-layers16-cosine-wu0-bs4-steps10000-seed0,0,0.0001,10.0,0.006,8,16,"q_proj,v_proj",16,4,10000,cosine,0.0,dev_accuracy,0.734,8500,0.5243510603904724,/home/zjs/code/x73/dpsgd/zo-dp/result/lora_dpzero_exploration/schedule/lora-dpzero-explore-schedule-04-lr0.0001-clip10-mu0.006-r8-a16-targetsq_proj+v_proj-layers16-cosine-wu0-bs4-steps10000-seed0
lora-dpzero-explore-schedule-02-lr0.0001-clip10-mu0.006-r8-a16-targetsq_proj+v_proj-layers16-linear-wu0-bs4-steps10000-seed0,0,0.0001,10.0,0.006,8,16,"q_proj,v_proj",16,4,10000,linear,0.0,dev_accuracy,0.73,8500,0.5321320295333862,/home/zjs/code/x73/dpsgd/zo-dp/result/lora_dpzero_exploration/schedule/lora-dpzero-explore-schedule-02-lr0.0001-clip10-mu0.006-r8-a16-targetsq_proj+v_proj-layers16-linear-wu0-bs4-steps10000-seed0
lora-dpzero-explore-schedule-05-lr0.0001-clip10-mu0.006-r8-a16-targetsq_proj+v_proj-layers16-cosine-wu0.03-bs4-steps10000-seed0,0,0.0001,10.0,0.006,8,16,"q_proj,v_proj",16,4,10000,cosine,0.03,dev_accuracy,0.724,8000,0.5374716520309448,/home/zjs/code/x73/dpsgd/zo-dp/result/lora_dpzero_exploration/schedule/lora-dpzero-explore-schedule-05-lr0.0001-clip10-mu0.006-r8-a16-targetsq_proj+v_proj-layers16-cosine-wu0.03-bs4-steps10000-seed0
lora-dpzero-explore-schedule-03-lr0.0001-clip10-mu0.006-r8-a16-targetsq_proj+v_proj-layers16-linear-wu0.03-bs4-steps10000-seed0,0,0.0001,10.0,0.006,8,16,"q_proj,v_proj",16,4,10000,linear,0.03,dev_accuracy,0.716,8500,0.5482611060142517,/home/zjs/code/x73/dpsgd/zo-dp/result/lora_dpzero_exploration/schedule/lora-dpzero-explore-schedule-03-lr0.0001-clip10-mu0.006-r8-a16-targetsq_proj+v_proj-layers16-linear-wu0.03-bs4-steps10000-seed0
