experiment_id,seed,learning_rate,dp_clip,lora_r,lora_alpha,zo_eps,batch_size,max_steps,metric_name,metric_value,best_checkpoint_step,best_eval_loss,output_dir
lora-dpzero-final-01-lr0.0001-clip10-r8-a16-mu0.003-bs4-steps10000-seed1,1,0.0001,10.0,8,16,0.003,4,10000,dev_accuracy,0.822,6500,0.4091166853904724,/home/zjs/code/x73/dpsgd/zo-dp/result/lora_dpzero_matrix/final/lora-dpzero-final-01-lr0.0001-clip10-r8-a16-mu0.003-bs4-steps10000-seed1
lora-dpzero-final-00-lr0.0001-clip10-r8-a16-mu0.003-bs4-steps10000-seed0,0,0.0001,10.0,8,16,0.003,4,10000,dev_accuracy,0.798,6500,0.44113847613334656,/home/zjs/code/x73/dpsgd/zo-dp/result/lora_dpzero_matrix/final/lora-dpzero-final-00-lr0.0001-clip10-r8-a16-mu0.003-bs4-steps10000-seed0
lora-dpzero-final-02-lr0.0001-clip10-r8-a16-mu0.003-bs4-steps10000-seed2,2,0.0001,10.0,8,16,0.003,4,10000,dev_accuracy,0.782,6500,0.42797064781188965,/home/zjs/code/x73/dpsgd/zo-dp/result/lora_dpzero_matrix/final/lora-dpzero-final-02-lr0.0001-clip10-r8-a16-mu0.003-bs4-steps10000-seed2
lora-dpzero-final-05-lr0.0001-clip10-r8-a16-mu0.003-bs8-steps5000-seed2,2,0.0001,10.0,8,16,0.003,8,5000,dev_accuracy,0.744,5000,0.49936994910240173,/home/zjs/code/x73/dpsgd/zo-dp/result/lora_dpzero_matrix/final/lora-dpzero-final-05-lr0.0001-clip10-r8-a16-mu0.003-bs8-steps5000-seed2
lora-dpzero-final-04-lr0.0001-clip10-r8-a16-mu0.003-bs8-steps5000-seed1,1,0.0001,10.0,8,16,0.003,8,5000,dev_accuracy,0.736,5000,0.48374494910240173,/home/zjs/code/x73/dpsgd/zo-dp/result/lora_dpzero_matrix/final/lora-dpzero-final-04-lr0.0001-clip10-r8-a16-mu0.003-bs8-steps5000-seed1
lora-dpzero-final-03-lr0.0001-clip10-r8-a16-mu0.003-bs8-steps5000-seed0,0,0.0001,10.0,8,16,0.003,8,5000,dev_accuracy,0.704,5000,0.5464654564857483,/home/zjs/code/x73/dpsgd/zo-dp/result/lora_dpzero_matrix/final/lora-dpzero-final-03-lr0.0001-clip10-r8-a16-mu0.003-bs8-steps5000-seed0
