experiment_id,seed,learning_rate,dp_clip,zo_eps,lora_r,lora_alpha,lora_target_modules,lora_num_layers,batch_size,max_steps,lr_scheduler_type,warmup_ratio,metric_name,metric_value,best_checkpoint_step,best_eval_loss,output_dir
lora-dpzero-explore-confirm-02-lr0.0001-clip10-mu0.006-r8-a16-targetsq_proj+v_proj-layers16-constant-wu0-bs4-steps10000-seed2,2,0.0001,10.0,0.006,8,16,"q_proj,v_proj",16,4,10000,constant,0.0,dev_accuracy,0.858,10000,0.3876795470714569,/home/zjs/code/x73/dpsgd/zo-dp/result/lora_dpzero_exploration/confirm/lora-dpzero-explore-confirm-02-lr0.0001-clip10-mu0.006-r8-a16-targetsq_proj+v_proj-layers16-constant-wu0-bs4-steps10000-seed2
lora-dpzero-explore-confirm-05-lr0.0001-clip10-mu0.006-r8-a16-targetsq_proj+v_proj-layers16-constant-wu0.03-bs4-steps10000-seed2,2,0.0001,10.0,0.006,8,16,"q_proj,v_proj",16,4,10000,constant,0.03,dev_accuracy,0.858,10000,0.3876795470714569,/home/zjs/code/x73/dpsgd/zo-dp/result/lora_dpzero_exploration/confirm/lora-dpzero-explore-confirm-05-lr0.0001-clip10-mu0.006-r8-a16-targetsq_proj+v_proj-layers16-constant-wu0.03-bs4-steps10000-seed2
lora-dpzero-explore-confirm-01-lr0.0001-clip10-mu0.006-r8-a16-targetsq_proj+v_proj-layers16-constant-wu0-bs4-steps10000-seed1,1,0.0001,10.0,0.006,8,16,"q_proj,v_proj",16,4,10000,constant,0.0,dev_accuracy,0.824,9500,0.42116621136665344,/home/zjs/code/x73/dpsgd/zo-dp/result/lora_dpzero_exploration/confirm/lora-dpzero-explore-confirm-01-lr0.0001-clip10-mu0.006-r8-a16-targetsq_proj+v_proj-layers16-constant-wu0-bs4-steps10000-seed1
lora-dpzero-explore-confirm-04-lr0.0001-clip10-mu0.006-r8-a16-targetsq_proj+v_proj-layers16-constant-wu0.03-bs4-steps10000-seed1,1,0.0001,10.0,0.006,8,16,"q_proj,v_proj",16,4,10000,constant,0.03,dev_accuracy,0.824,9500,0.42116621136665344,/home/zjs/code/x73/dpsgd/zo-dp/result/lora_dpzero_exploration/confirm/lora-dpzero-explore-confirm-04-lr0.0001-clip10-mu0.006-r8-a16-targetsq_proj+v_proj-layers16-constant-wu0.03-bs4-steps10000-seed1
lora-dpzero-explore-confirm-00-lr0.0001-clip10-mu0.006-r8-a16-targetsq_proj+v_proj-layers16-constant-wu0-bs4-steps10000-seed0,0,0.0001,10.0,0.006,8,16,"q_proj,v_proj",16,4,10000,constant,0.0,dev_accuracy,0.802,9500,0.4429813623428345,/home/zjs/code/x73/dpsgd/zo-dp/result/lora_dpzero_exploration/confirm/lora-dpzero-explore-confirm-00-lr0.0001-clip10-mu0.006-r8-a16-targetsq_proj+v_proj-layers16-constant-wu0-bs4-steps10000-seed0
lora-dpzero-explore-confirm-03-lr0.0001-clip10-mu0.006-r8-a16-targetsq_proj+v_proj-layers16-constant-wu0.03-bs4-steps10000-seed0,0,0.0001,10.0,0.006,8,16,"q_proj,v_proj",16,4,10000,constant,0.03,dev_accuracy,0.802,9500,0.4429813623428345,/home/zjs/code/x73/dpsgd/zo-dp/result/lora_dpzero_exploration/confirm/lora-dpzero-explore-confirm-03-lr0.0001-clip10-mu0.006-r8-a16-targetsq_proj+v_proj-layers16-constant-wu0.03-bs4-steps10000-seed0
