experiment_id,seed,learning_rate,dp_clip,zo_eps,lora_r,lora_alpha,lora_target_modules,lora_num_layers,batch_size,max_steps,lr_scheduler_type,warmup_ratio,metric_name,metric_value,best_checkpoint_step,best_eval_loss,output_dir
lora-dpzero-explore-structure-04-lr0.0001-clip10-mu0.006-r8-a16-targetsq_proj+v_proj-layers16-constant-wu0-bs4-steps10000-seed0,0,0.0001,10.0,0.006,8,16,"q_proj,v_proj",16,4,10000,constant,0.0,dev_accuracy,0.802,9500,0.4429813623428345,/home/zjs/code/x73/dpsgd/zo-dp/result/lora_dpzero_exploration/structure/lora-dpzero-explore-structure-04-lr0.0001-clip10-mu0.006-r8-a16-targetsq_proj+v_proj-layers16-constant-wu0-bs4-steps10000-seed0
lora-dpzero-explore-structure-05-lr0.0001-clip10-mu0.006-r8-a16-targetsq_proj+v_proj-layers-1-constant-wu0-bs4-steps10000-seed0,0,0.0001,10.0,0.006,8,16,"q_proj,v_proj",-1,4,10000,constant,0.0,dev_accuracy,0.796,8500,0.4375472664833069,/home/zjs/code/x73/dpsgd/zo-dp/result/lora_dpzero_exploration/structure/lora-dpzero-explore-structure-05-lr0.0001-clip10-mu0.006-r8-a16-targetsq_proj+v_proj-layers-1-constant-wu0-bs4-steps10000-seed0
lora-dpzero-explore-structure-03-lr0.0001-clip10-mu0.006-r8-a16-targetsq_proj+v_proj-layers8-constant-wu0-bs4-steps10000-seed0,0,0.0001,10.0,0.006,8,16,"q_proj,v_proj",8,4,10000,constant,0.0,dev_accuracy,0.74,10000,0.5034337043762207,/home/zjs/code/x73/dpsgd/zo-dp/result/lora_dpzero_exploration/structure/lora-dpzero-explore-structure-03-lr0.0001-clip10-mu0.006-r8-a16-targetsq_proj+v_proj-layers8-constant-wu0-bs4-steps10000-seed0
lora-dpzero-explore-structure-02-lr0.0001-clip10-mu0.006-r8-a16-targetsq_proj-layers-1-constant-wu0-bs4-steps10000-seed0,0,0.0001,10.0,0.006,8,16,q_proj,-1,4,10000,constant,0.0,dev_accuracy,0.66,10000,0.6589906811714172,/home/zjs/code/x73/dpsgd/zo-dp/result/lora_dpzero_exploration/structure/lora-dpzero-explore-structure-02-lr0.0001-clip10-mu0.006-r8-a16-targetsq_proj-layers-1-constant-wu0-bs4-steps10000-seed0
lora-dpzero-explore-structure-01-lr0.0001-clip10-mu0.006-r8-a16-targetsq_proj-layers16-constant-wu0-bs4-steps10000-seed0,0,0.0001,10.0,0.006,8,16,q_proj,16,4,10000,constant,0.0,dev_accuracy,0.658,10000,0.6978484392166138,/home/zjs/code/x73/dpsgd/zo-dp/result/lora_dpzero_exploration/structure/lora-dpzero-explore-structure-01-lr0.0001-clip10-mu0.006-r8-a16-targetsq_proj-layers16-constant-wu0-bs4-steps10000-seed0
lora-dpzero-explore-structure-00-lr0.0001-clip10-mu0.006-r8-a16-targetsq_proj-layers8-constant-wu0-bs4-steps10000-seed0,0,0.0001,10.0,0.006,8,16,q_proj,8,4,10000,constant,0.0,dev_accuracy,0.638,10000,0.7682239413261414,/home/zjs/code/x73/dpsgd/zo-dp/result/lora_dpzero_exploration/structure/lora-dpzero-explore-structure-00-lr0.0001-clip10-mu0.006-r8-a16-targetsq_proj-layers8-constant-wu0-bs4-steps10000-seed0
