experiment_id,seed,learning_rate,dp_clip,lora_r,lora_alpha,zo_eps,batch_size,max_steps,metric_name,metric_value,best_checkpoint_step,best_eval_loss,output_dir
lora-dpzero-stage3-01-lr0.0001-clip10-r8-a16-mu0.003-bs4-steps10000-seed0,0,0.0001,10.0,8,16,0.003,4,10000,dev_accuracy,0.798,6500,0.44113847613334656,/home/zjs/code/x73/dpsgd/zo-dp/result/lora_dpzero_matrix/stage3/lora-dpzero-stage3-01-lr0.0001-clip10-r8-a16-mu0.003-bs4-steps10000-seed0
lora-dpzero-stage3-02-lr0.0001-clip10-r8-a16-mu0.003-bs8-steps5000-seed0,0,0.0001,10.0,8,16,0.003,8,5000,dev_accuracy,0.704,5000,0.5464654564857483,/home/zjs/code/x73/dpsgd/zo-dp/result/lora_dpzero_matrix/stage3/lora-dpzero-stage3-02-lr0.0001-clip10-r8-a16-mu0.003-bs8-steps5000-seed0
lora-dpzero-stage3-00-lr0.0001-clip10-r8-a16-mu0.003-bs2-steps20000-seed0,0,0.0001,10.0,8,16,0.003,2,20000,dev_accuracy,0.57,19500,0.6753402352333069,/home/zjs/code/x73/dpsgd/zo-dp/result/lora_dpzero_matrix/stage3/lora-dpzero-stage3-00-lr0.0001-clip10-r8-a16-mu0.003-bs2-steps20000-seed0
